,t,pos,vel,rot_vel,head_direction
0,0.1,"[0.8396241971018863, 0.7219577314669057]","[-0.02487539415645057, 0.019710840867249724]",9.714262705369098,"[-0.5556823797105129, 0.8313946673387204]"
1,0.2,"[0.8387339716366718, 0.7246434198360154]","[-0.008902254652144448, 0.02685688369109762]",-5.80658397230116,"[-0.39818214173637345, 0.9173063730304257]"
2,0.30000000000000004,"[0.8390241880591955, 0.726225208265768]","[0.002902164225236925, 0.015817884297525397]",-5.01555823368828,"[-0.01291617929341951, 0.9999165826770053]"
3,0.4,"[0.8382075198879817, 0.7284455406925692]","[-0.008166681712138413, 0.02220332426801197]",5.339322796855721,"[-0.23747306166866455, 0.9713941244323596]"
4,0.5,"[0.8372956867043823, 0.7313649789400289]","[-0.00911833183599442, 0.029194382474597713]",-0.4971529214448456,"[-0.27803259916700657, 0.9605716390777103]"
5,0.6,"[0.8379415216631011, 0.7355450263070265]","[0.006458349587188383, 0.04180047366997508]",-4.560158289866063,"[0.009312235749363228, 0.9999566401926376]"
6,0.7,"[0.8377938716146051, 0.7381682919579403]","[-0.0014765004849603969, 0.02623265650913864]",2.0950298229963726,"[-0.03437624656941759, 0.9994089621730429]"
7,0.7999999999999999,"[0.8381663370056429, 0.7413956785662503]","[0.0037246539103785725, 0.03227386608310012]",-1.7111750384246438,"[0.06513361594854417, 0.9978765515200101]"
8,0.8999999999999999,"[0.8348436211120593, 0.7495520641968322]","[-0.03322715893583572, 0.08156385630581853]",5.017682829891967,"[-0.2351108595764035, 0.9719685610703902]"
9,0.9999999999999999,"[0.8353787666797654, 0.7539191494627381]","[0.005351455677060635, 0.04367085265905901]",-5.087936151628787,"[0.00275633978500309, 0.9999962012882797]"
10,1.0999999999999999,"[0.8340332861415674, 0.7578768299964096]","[-0.013454805381980517, 0.03957680533671515]",4.4964155664707794,"[-0.2162807468654768, 0.9763312135414455]"
11,1.2,"[0.8356717277124542, 0.7623724413519998]","[0.016384415708868838, 0.04495611355590179]",-6.77198430596615,"[0.16192953081335695, 0.9868023242020492]"
12,1.3,"[0.8347181829227538, 0.7669812749657158]","[-0.009535447897004445, 0.04608833613716001]",5.535079264225231,"[-0.08231800221181527, 0.9966061140249218]"
13,1.4000000000000001,"[0.835594449813722, 0.77181146161097]","[0.008762668909682025, 0.04830186645254253]",-3.8347866882824366,"[0.09226310596164261, 0.9957346630896761]"
14,1.5000000000000002,"[0.8327040746886468, 0.777676280140687]","[-0.02890375125075173, 0.058648185297169864]",6.373666850458306,"[-0.2730645829702432, 0.9619957034869164]"
15,1.6000000000000003,"[0.8329967964014117, 0.7841834931067059]","[0.0029272171276484293, 0.0650721296601886]",-5.028529555852179,"[-0.06176986931324888, 0.9980904183715141]"
16,1.7000000000000004,"[0.8271542687392982, 0.7907447396720788]","[-0.058425276621134614, 0.06561246565372936]",7.724800361954609,"[-0.48765132977457054, 0.8730384759958137]"
17,1.8000000000000005,"[0.8224249670555998, 0.7940739013506819]","[-0.0472930168369845, 0.033291616786030875]",2.299077804538938,"[-0.723745025245669, 0.6900674883170094]"
18,1.9000000000000006,"[0.8167853721091491, 0.7970209695839187]","[-0.0563959494645061, 0.029470682332367604]",1.3183237990729335,"[-0.8394025817304042, 0.5435101708195829]"
19,2.0000000000000004,"[0.8137367990302364, 0.8013670155041321]","[-0.030485730789127086, 0.043460459202134816]",-4.775619002551128,"[-0.6736626451110125, 0.7390389980116302]"
20,2.1000000000000005,"[0.8116490775092892, 0.8077940080508152]","[-0.02087721520947272, 0.06426992546683108]",-2.9761917150011286,"[-0.43929270396872333, 0.898343987701731]"
21,2.2000000000000006,"[0.8123230948808781, 0.812187426265136]","[0.006740173715888975, 0.0439341821432071]",-4.6632050544645764,"[-0.04725162054180157, 0.9988830183540882]"
22,2.3000000000000007,"[0.8146907166431516, 0.8191194675013886]","[0.02367621762273564, 0.06932041236252684]",-1.7688736708314412,"[0.2029076991588353, 0.9791978684730005]"
23,2.400000000000001,"[0.8181468612642092, 0.8257151747240016]","[0.034561446210575886, 0.06595707222612934]",-1.5353596598075914,"[0.38032849558234594, 0.9248514666950957]"
24,2.500000000000001,"[0.8210342989032576, 0.834729398954554]","[0.02887437639048418, 0.09014224230552426]",1.7267054657950065,"[0.3303801777903868, 0.9438479422678171]"
25,2.600000000000001,"[0.8251959068086065, 0.8414961762110537]","[0.041616079053489186, 0.06766777256499656]",-2.413875758757431,"[0.46173028798689686, 0.8870203724580047]"
26,2.700000000000001,"[0.8335034904558688, 0.8492996118084026]","[0.08307583647262251, 0.07803435597348973]",-2.652951242207111,"[0.6479659676309164, 0.7616692883345961]"
27,2.800000000000001,"[0.8388495520858422, 0.8559803015466327]","[0.0534606162997342, 0.06680689738230106]",1.4179823151783322,"[0.6325871404312982, 0.7744891927980357]"
28,2.9000000000000012,"[0.8438370002393065, 0.8637615788768334]","[0.04987448153464302, 0.0778127733020062]",1.0488839539445238,"[0.5714495929166349, 0.8206371687630363]"
29,3.0000000000000013,"[0.8471171134649174, 0.8744246754989676]","[0.03280113225610837, 0.10663096622134272]",2.7156389188826346,"[0.3906505608191185, 0.9205390482384266]"
30,3.1000000000000014,"[0.849778897203645, 0.8885737167918063]","[0.026617837387276078, 0.1414904129283867]",1.1247740653708327,"[0.25478283630994736, 0.9669982969591303]"
31,3.2000000000000015,"[0.8496785839781424, 0.9022400640929826]","[-0.0010031322550252408, 0.1366634730117633]",1.9329087844046144,"[0.08066228836479154, 0.9967414886698333]"
32,3.3000000000000016,"[0.8556031050507956, 0.9158494253156958]","[0.05924521072653177, 0.13609361222713168]",-4.179239026222685,"[0.2965585438810853, 0.9550146753066836]"
33,3.4000000000000017,"[0.8642312966335335, 0.927168557669651]","[0.08628191582737865, 0.11319132353955208]",-2.407197441183442,"[0.5099285276873678, 0.8602167730581596]"
34,3.5000000000000018,"[0.8741341565593334, 0.9311902915040456]","[0.09902859925799867, 0.04021733834394636]",-5.3371919090727005,"[0.8259569209267793, 0.5637332390174931]"
35,3.600000000000002,"[0.8832451403224338, 0.9397483913383536]","[0.09110983763100489, 0.08558099834307997]",3.6834565294954125,"[0.7632783122400802, 0.6460698244492885]"
36,3.700000000000002,"[0.8928574187799807, 0.9471360801795782]","[0.09612278457546863, 0.07387688841224538]",-0.9883782888252046,"[0.7832047858106337, 0.6217638325629108]"
37,3.800000000000002,"[0.9001867211477812, 0.9493867456578434]","[0.07329302367800494, 0.022506654782652458]",-3.5734045410572257,"[0.9124186950149096, 0.40925801762126723]"
38,3.900000000000002,"[0.9106563137691496, 0.9479697518280692]","[0.10469592621368373, -0.014169938297742268]",-4.3245860539378,"[0.9988152300934154, 0.048663498984736944]"
39,4.000000000000002,"[0.9145656245545163, 0.9478358489864757]","[0.03909310785366715, -0.0013390284159353616]",1.0028700348115294,"[0.9999781844050404, -0.006605354948763868]"
40,4.100000000000001,"[0.918503912312919, 0.9454820630761517]","[0.03938287758402659, -0.0235378591032398]",-5.044533236216706,"[0.9347499824231742, -0.3553061642582008]"
41,4.200000000000001,"[0.9200142398713805, 0.9433341021463469]","[0.015103275584615883, -0.021479609298047375]",-4.192403711237631,"[0.7231818624683292, -0.6906576531081362]"
